issue,transaction,address,tradingfee,miningfee
3,dbdb6030d2d1b71515ef15f3e52c55357c720cb0e10833f5dc745a43b5401d8e,1Fr621qa6XdxLpq7KasEk5GPXMNwEiZGfx,0.000200,0.002366
3,2115f3d5da724e7e3db8da39b9077b2815fecc54c7ebf0fc1102f6199eea5a95,16UsMCWPquW5s8o4hRAfJsHmDjsZmT7K2y,0.000200,0.002366
3,0e8af3d28cf8d4f8cf29069760e76bae9435b30514b16e7aca500e6eaccb1ba3,1Fr621qa6XdxLpq7KasEk5GPXMNwEiZGfx,0.000307,0.004080
3,6e89836b8061160b738ac54f6c020878f95ade8fcbaa9db8d87d7d935ada5007,1Fr621qa6XdxLpq7KasEk5GPXMNwEiZGfx,0.000330,0.002600
3,8c10ea10802c23db11cc8ded51a75f1c652b37a1f9293c6b07bf5951ba4df01a,1GNS6UPQ4cG8tYpgfg6U7e3Uu6vUbKkVWB,0.000200,0.001040
4,7d2ea7c25c3b30c23fab37bd80a15a4a1ed8d0bec2c307705c333ba31a7aac52,137y6B7erAzGteapxj9tE1PxRuk43374Fh,0.000200,0.001526
4,59427a93cfd8ac4a559b1597f07721673efd9fde3b2ea85061c6005105360b33,1HPC5cA81ZbhNK4HhpsyNvjY2Xig9Xi6CT,0.000200,0.003838
4,abf9ced1e0fc781b24525f71325ff3fd7f9235155d8ffca31805e07314da51da,1B3Po91PAyNUaU4XG2mGQv8SJdWWffwJ4q,0.000200,0.001001
4,49076a319d54caf4455cd91ffa89b8a8ff2a861df414921775d1946eb740545f,1KiDxjpmG9sCGqfyndkto2q7p6zZjj2YJ4,0.000200,0.001408
4,3daf6c5e7263e9149f4920462e4021697142a89ede9a4f375db3cf4ed637f66e,1HPC5cA81ZbhNK4HhpsyNvjY2Xig9Xi6CT,0.000200,0.003311
4,49635bebaafc85638a6259e86e0fdb5be66de3672370b4933c5c6c1a4ef98eba,1HPC5cA81ZbhNK4HhpsyNvjY2Xig9Xi6CT,0.000200,0.001222
5,359e08dbe1d29aaea9de02723afe687f8f619d64c4b47d6eb076aa06f93018dc,1KRdLiNRC9sfwBoTdTjTm7qSfVQewiRfm5,0.000200,0.0018564
7,23d09a963cf2fbadd08611ea595b33238660343ce6e08e881dac34b6b411240c,1BWExwKe8FB7ChSfdf8t7Jxvhmh3BZGm1,0.000200,0.0014245
7,d50c769df3819029185ac092559ab3004911b909a3f94fd7a8d8568bd69127ee,132DLKdVSPcNmJoP8BagTZqAGfVg2JhQ6a,0.000200,0.000962
8,50b46f74f015a3a7d20f9327079950c3ff60fb5a6bf490c390efcb909541a75e,378nFLXUuQLRFkoo8GoJyNdUpHVRv4RV1e,0.000200,0.002340
8,e0c15b81714a432427fd47afced342855c1aec42f7c18d6e18d75eafedcbd6c1,378nFLXUuQLRFkoo8GoJyNdUpHVRv4RV1e,0.000200,0.004200
9,2947739e6c489f13554ee7f7d895859505510dd4d67fa6fe3809dbeeba09d105,1uWxNSCjZvnRDS2Q87ZDkbt4Wjzuk7Xi4,0.000200,0.000800
9,6accfa15e0e041c3eb313eeb1b89a254ecf8631a5aa85955e9b66ab481b24114,1uWxNSCjZvnRDS2Q87ZDkbt4Wjzuk7Xi4,0.000632,0.0021645
9,78647a61a01a38036126a3fb3ffed9aaeb67f919af133417bec5fa90f83b1950,1uWxNSCjZvnRDS2Q87ZDkbt4Wjzuk7Xi4,0.000710,0.0016280
10,833b57362d0d26814387bc9d24f7253293ed443ac0570001438c96e29e8912c0,1r81aqzLq71qQ3Z3e25REnbPEz3f5vbeD,0.000200,0.000988
13,8f912b2a35fa653c9fcc6f6add81896acfe2ad593e915310273e2ce0f189ab8d,1E7DQGnHmc473MdhkNeAu5NfaQC2PSd8mD,0.000200,0.0003978
13,5094f7886025ea59e6be878c9ed5dae95834c1976adc2b0b5e6d58111a284431,18cB4V4KUyvEiG3rbFbmurjtxRF5xaXFs1,0.000200,0.0004082
14,b7f8892dbac56f609a0418d4c54c2d925d977c7ab3aff001bb176adf1a7957f6,16owLkV2o2xVeQsLe3EKnC8V4ZVuwMkUin,0.000300,0.00294
15,e1c6a8dd6a7dce91b355511709328b232fc2ad9567d33a5b6ac12daccbf1444f,1LSQZomP8SyH69QzTac3VkCDttHUM4yNDy,0.000200,0.001027
16,8a1863a400a64e708122176b6a5751e1723c4258b6c59ac020b4c38b871695d5,1HnVScm3iPu5KNsZ7XYCPwQbCf64GNokzu,0.000200,0.000832
17,3329fcad7e587f1d3b2e58f492465ecdef387b8e032c14d4540ee267194f75fe,146KVh7FdFjGAExn137FS5bG8ZRNNbotEZ,0.000509,0.002216
17,7ec8b65e7dfbf53b5b49c1f1b673be11c0f161b50dda389cd08ea68b364d53f4,1AvfqDYhHoJqKJ8wZzcvrdY6HTJW6CnT5X,0.000200,0.0017544
17,c9437c01892c809ca7c83bfe97b71dd30e01af46091241ef1b817ba3ff79b9bb,12dEwfstrXUwZDQr1PkrhXUDEehQyxsZUb,0.000200,0.0018676
17,0951e0ca25664619e9d25e05b1c896d5fe566dbcc654c8feb8ad5238413fca70,1Lija9agXe9cQ4doechy2h5B6DLS6V6Zfr,0.000200,0.0018972
17,3f5075c4a3eca0d3dabdf56102e0f465822e9249af46e94f963a2553f0805a73,18KdmU6LaHk5WLco7EXzgDk37wnhfLcyMT,0.000200,0.0019129
18,1d6c03860f623fef35f3c94cd6b2a0718ec25616467fa951924587905db34f1e,1EWfUeBwKG1TqVpwHfANnNCaNGeym36RtE,0.000269,0.001632
19,ea2ca92e133b5575fad0bcf837d7fadd393b311b0fda8f6a574b41e0dc2030ea,17Szon5HrwHMayRx18AoRDZ1ik1pvnLBqy,0.000200,0.001183
19,6650ec7fcec990dab2121af76688021c41730b11d4962d728525315396a36d24,17Szon5HrwHMayRx18AoRDZ1ik1pvnLBqy,0.000200,0.00185185
20,10e54ec441729c2d954983e9fc453a46702dd400b1ae0563e5274ded61205dff,1PtZ6N2m6P3gcZEv2F8yoooeqXGZBDDxnd,0.000200,0.001118
