gh,transaction,address,tradingfee,miningfee,tradeid
148,f41cd191bef4d3be9311d8e9ee64c82fe127eb173393c20c5c87fad9f2355b6e,19nUpn2dzxLqhR9yoFjeeSPefAN8rcuGeT,0.00005000,0.00004070,7316228
148,3f7d6fefb8683745928158e5924867ddcc155e88d5117676e595a29e724402bb,1BtoeMvRu8jFjFVKfZAeJ2XSoh13ULy7Pf,0.00200000,0.00003200,7316228
150,17fa7276c28e58030ae7bde257d43dece005491c2e4d320ce9b719c7619cef26,16f3ufhDMRK6CPmZcYjnYsZDn2iizuUww7,0.00005000,0.00004070,myfmqqy
150,a295b89ef042750e54c1c55295cdec018ca7f9461f03a5cd360f3aea73d8ef84,1D8d98wLPGMkMzMmTZe7GMhwVdj2ZsaZEr,0.00020000,0.00003200,myfmqqy
152,bae4386344bf80d7e578aa87012950225f04c3d70799d51c08d4742299940091,15rJ4AaSEgdrPxjpgxGbEYq39BqMM7S85h,0.00200000,0.00002600,tajbyvai
152,bc3fbf7d80e90f62c32c4f4ee1c3db2d0b522a909901a7553e688d30ff937c07,1GZCn1KDC8RHcni25a4iJh4j4ddmDnDLMN,0.00200000,0.00003200,tajbyvai
151,87a42ca82fe412ca15952175af002ed98ebd12ba46853043dad1e056d2fe3846,16f3ufhDMRK6CPmZcYjnYsZDn2iizuUww7,0.00005000,0.00004060,NAdjQkUo
153,ba247a3b93d95345376331123fe8e4e48d676b9ab718482e8cf2b04dd6110bea,1CxdnLVjAFoHf1HY9vdPgUHzEfHwdWHnE7,0.00268300,0.00003120,3700338
153,9bf333d6ad790094ab0499b38a6275237483d5bc3db62b5d058f9a4a84c60125,1E4xKXqbechYBt7E4ssDpMDB254orE5q74,0.00200000,0.00004356,3700338
154,57ee2c78472b8ddbc683cfc5050ea93dd8f1830f998d7cb18925ad7da7bb2acc,1HzDRF2bTreaoXBjdixDYgwbAKrUHovJ2M,0.00020000,0.00003800,41UKUC
154,8aded5ef28890a820e7e25f5c787e4852a91ee1cad4c6df904dcdb4f9a010374,1HzDRF2bTreaoXBjdixDYgwbAKrUHovJ2M,0.00020000,0.00003800,41UKUC
154,4dab375a8c063fd8e12de74f8ee0836e1d8832b57feef1d57798e565968ed9c5,1HzDRF2bTreaoXBjdixDYgwbAKrUHovJ2M,0.00022300,0.00004080,2395360
155,907146180c1c1482b80c7a736bbfd70e95da0ceed1756bd7890683bf322685d1,15fXfVVKnroyt9AvttAxeVP9dnbbhjP5ZK,0.00005000,0.00009880,NBwjcL
155,405d19a81e21e950d386194049dd4e5592a0e9a5524ebbb731ec6b167d765f13,14AYWf3G4yJftSXmMk3JekPn3NMiVuNMuj,0.00200000,0.00016698,NBwjcL
156,8a0ef7c84ca7e470b8d1f496fc634488a59df736c3cfd3f4271698cd5920afa0,1AVmw5HyHCLmtCkR1BF6R1svvpMG3ggVNK,0.00200000,0.00007040,531477
157,a5b61c5826fc9d968fc4919b337c0a205329786c6a271b1079e388316295cfcf,1P4LA96HxzheTvVirnjQob1HPtULsiHgH7,0.00200000,0.00003200,64210
