gh,transaction,address,tradingfee,miningfee,trade
27,2f011e45cad791a66761e556fcb620700c749b03af88be007c811dc4a29065a0,1FKAjzo9RaERzHCLmdSMPTG238chYWsWhS,0.00020000,0.00155040,
27,3638d4593beab1b37d74ca033d35433cfc91cd541c436a03fd16f8914b4b97cc,1AFkgYBjL3LH2sjNSn9b3HgUrGQMGwCQBw,0.00020000,0.00199800,
27,4fd67ece7f4b9abf7c18b5b5b21e5a54d7e29f427d0ab9ae1546671f0df9152a,18gpqk5i1URJ3sFmftS8MYL6AdnRbqa1ZB,0.00020000,0.00150590,
27,8c5535e80f93ad7c3e29f420787d6cf935c3a56ae50aca2018b1a22aff0dc8b0,18gpqk5i1URJ3sFmftS8MYL6AdnRbqa1ZB,0.00020000,0.00150590,
27,c5810a60f3b25f76cfeb0f79de6538c2bf6160f5edc6c55fa59cfa7f4e4e0e70,18gpqk5i1URJ3sFmftS8MYL6AdnRbqa1ZB,0.00020000,0.00260480,
,,,,,TBTVBNKI
,,,,,21502
,,,,,n8T2n
,,,,,ooeeaqe3
,,,,,NDQKYOB
,,,,,abzphlpw
,,,,,zWiWJ
,,,,,EJOLDw
,,,,,856054
,,,,,8707666
,,,,,QRCKL
,,,,,64353
,,,,,WRDIRWV
,,,,,mjdkabdz
,,,,,yhnfpo
,,,,,HYyDj
